gares,UIC,2015,2016,2017,2018,latitude,longitude
CHAVILLE VELIZY,87393173,1938247,182746098339,1754176,1615491,48.7998005,2.1845267
GROSLAY,87276360,1573747,160617304841,1621062,1612611,48.98462,2.35358
VILLENEUVE LE ROI,87545277,1653657,166875904438,1635284,1609710,48.739908,2.426084
AIX LES BAINS LE REVARD,87741132,1624127,16196472693,1713011,1609468,45.688161,5.909371
LES NOUES,87276238,1724995,169600391452,1661373,1597284,49.032340000000005,2.47633
MONTSOULT MAFFLIERS,87276493,1535207,156001557455,1604400,1571578,49.066109999999995,2.32229
GARCHES MARNES LA COQUETTE,87382259,1827901,171391976,1648580,1555905,48.838390000000004,2.18692
LIBOURNE,87584052,1608739,164633803356,1661500,1548977,44.915888,-0.236344
CHALON SUR SAONE,87725002,1765939,162176736971,1708684,1548072,46.781612,4.843454
SAINT BRIEUC,87473009,1522386,15222786901,1596582,1544106,48.50758,-2.765
NARBONNE,87781104,1799799,188507657787,1872714,1531995,43.190387,3.0059099999999996
BEZIERS,87781005,1572243,171792362924,1802366,1517639,43.33633,3.218873
SAINT LOUIS,87182139,1395997,140320219935,1495780,1517138,47.5906094,7.5559882
SAVERNE,87212225,1512530,14825911937,1506016,1504905,48.744460600000004,7.362080199999999
VOIRON,87747287,1545443,151310739418,1587578,1496416,45.364036999999996,5.595054
VICHY,87732008,1582311,152336550267,1618912,1492395,46.126979,3.430448
MAINTENON,87394130,1520697,15097748992,1512294,1482831,48.585479299999996,1.5920651000000001
TRILPORT,87116491,1211959,130764087777,1403650,1476206,48.96013551,2.94953688
CAGNES SUR MER,87756320,1228108,127764579456,1580673,1475745,43.65813,7.148639999999999
ABLON,87545269,1443775,147495592638,1471462,1467495,48.725468,2.419151
AMBERIEU EN BUGEY,87743716,1494362,148529162067,1529395,1460784,45.954008,5.342388
BOURAY,87545178,1399685,143086293635,1470879,1459672,48.533149,2.290596
NIORT,87485300,1543207,158716310156,1569364,1458181,46.319491,-0.454639
BELLEGARDE,87745000,1773757,169881351103,1690035,1439345,46.109425,5.823483
SAINT MALO,87478107,1384542,136597115495,1455429,1419742,48.646859,-2.0041580000000003
MACON,87725689,1548756,143501227451,1528102,1418697,46.302572,4.824887
MAROLLES EN HUREPOIX,87545186,1295880,135242669463,1389667,1407453,48.565345,2.290327
