gares,total_2018,latitude,longitude
CASTELNAU D'ESTRETEFONDS,201012,43.786196000000004,1.341761
CASTELNAUDARY,247301,43.312292,1.95039
CASTELSARRASIN,68087,44.0403503,1.1143954
CASTILLON,132624,44.856999,-0.04066
CASTRES,125499,43.599131,2.231223
CAUDERAN MERIGNAC,55965,44.84288,-0.6274337
CAVAILLON,172495,43.834554,5.043613
CENON,503076,44.8563465,-0.5336486999999999
CERCOTTES,36191,47.98615529999999,1.8849813000000002
CERCY LA TOUR,26574,46.8578816,3.6452029
CERIZAY,483,46.817687799999995,-0.6689931
CERONS,256860,44.632346000000005,-0.340526
CEYZERIAT,4123,46.1834877,5.3258417
CHABANAIS,3850,45.8726435,0.7168939999999999
CHABRIS,21423,47.2549836,1.6459423999999998
CHAGNY,314142,46.907269,4.749682
CHALAIS,16505,45.27083270000001,0.0435966
CHALLANS,149736,46.843962,-1.871879
CHALON SUR SAONE,1238458,46.781612,4.843454
CHALONNES,181722,47.343059999999994,-0.74306
CHAMBERY CHALLES LES EAUX,3447007,45.571302,5.919547000000001
CHAMBLY,622939,49.16362,2.24048
CHAMONIX MONT BLANC,134648,45.92277,6.87363
CHAMPAGNE,20618,48.019711799999996,0.33522529999999995
CHAMPAGNEY,44324,47.7031399,6.7012773
CHAMPAGNOLE,28993,46.749298100000004,5.9100314
CHAMPTOCE SUR LOIRE,38102,47.410245700000004,-0.8685746999999999
CHANTENAY,35066,47.1971227,-1.5943633999999998
CHANTILLY GOUVIEUX,2365877,49.18724,2.4597900000000004
CHANTONNAY,17660,46.6898472,-1.0544143999999998
CHAPONOST,80970,45.698488899999994,4.7643014
CHARBONNIERES LES BAINS,241958,45.782142,4.735912
CHARTRES,2572719,48.4482023,1.4813128
CHASSE SUR RHONE,158389,45.582370000000004,4.794843
CHASSENEUIL SUR BONNIEURE,21027,45.824409100000004,0.45355280000000003
CHATEAU DU LOIR,159432,47.683392,0.414912
CHATEAU L'EVEQUE,1317,45.2445887,0.6882106
CHATEAU THIERRY,1826996,49.038224,3.409514
CHATEAUBOURG,417333,48.106361,-1.405159
CHATEAUBRIANT,120640,47.71752120000001,-1.3715152
CHATEAUDUN,97281,48.073463000000004,1.338133
CHATEAUNEUF SUR CHARENTE,48544,45.599835999999996,-0.0502
CHATEAUROUX,728454,46.809737,1.6995360000000002
CHATEL CENSOIR,3339,47.5377695,3.6350455000000004
CHATELAILLON PLAGE,68306,46.0783303,-1.0908909
CHATELLERAULT,453838,46.818594,0.549279
CHAUFFAILLES,22345,46.207455200000005,4.3454277999999995
CHAUGEY,9327,47.0872036,5.2551914
CHAUMONT EN VEXIN,314117,49.261390000000006,1.87274
CHAUNY,483237,49.61119,3.2235400000000003
CHAZAY MARCILLY,13054,45.8729618,4.7252221
CHEMILLE,145513,47.217748,-0.731989
CHEMILLY APPOIGNY,1835,47.89723660000001,3.5543936
CHENONCEAUX,44593,47.330554,1.0661
CHERBOURG,516083,49.633505,-1.621515
CHEVILLY,39508,48.026621500000005,1.8793012999999998
CHINON,118423,47.163047,0.251538
CHOLET,471013,47.065698,-0.869583
CHORGES,24056,44.545841499999995,6.2718887
CINTEGABELLE,78473,43.30542020000001,1.5204268
CIRES LES MELLO,87462,49.2717956,2.3601902999999997
CIVRIEUX D'AZERGUES,6617,45.8591831,4.7182413
CIZE BOLOZON,477,46.21348029999999,5.4540677
CLAMECY,21852,47.4666984,3.5207672
CLERES,129616,49.598964,1.106184
CLERMONT DE L'OISE,926973,49.38531,2.41767
CLERMONT FERRAND,3487397,45.778945,3.100543
CLERMONT LA PARDIEU,248038,45.766946999999995,3.134163
CLERVAL,44943,47.396657700000006,6.4920574
CLISSON,837855,47.086141999999995,-1.2861719999999999
COARRAZE NAY,23642,43.1818351,-0.24164290000000002
COGNAC,128074,45.684682,-0.326112
COLLONGES FONTAINES,73055,45.8291102,4.8466135999999995
COLOMIERS,246880,43.603734,1.3342209999999999
COLOMIERS LYCEE INTERNATIONAL,181352,43.6163055,1.3141156999999999
COMBOURG,266528,48.416090000000004,-1.7279200000000001
COMMENTRY,135685,46.295102,2.739949
COMPIEGNE,2164053,49.422005,2.8236790000000003
CONCHES,96123,48.96236029999999,0.9378895
CONDAT LE LARDIN,28841,45.1267128,1.2267493
CONNERRE BEILLE,158737,48.0735,0.48686999999999997
CORBIE,347950,49.911618299999994,2.4996846
CORBIGNY,4865,47.254807,3.6773226
CORDES VINDRAC,7395,44.067189,1.9002290000000002
CORGOLOIN,12843,47.0841982,4.9171231
CORMERY,101215,47.26254,0.833953
COSNE SUR LOIRE,158219,47.413996000000004,2.931981
COUDEKERQUE BRANCHE,12240,51.01770689999999,2.3751425
COUERON,46990,47.2220412,-1.7235014
COUIZA MONTAZELS,593,42.9423828,2.2481477
COULANGES SUR YONNE,2401,47.5270546,3.5472387999999997
COULIBOEUF,262,48.923748700000004,-0.0984574
COURCAY TAUXIGNY,6041,47.2377076,0.867867
COUTANCES,124199,49.042928,-1.441726
COUTRAS,338056,45.036609999999996,-0.13169
COUZE,151,44.836574,0.7036281999999999
