gares,UIC,2015,2016,2017,2018,latitude,longitude
TOURCOING,87286542,211786,1050770,1310236,914508,50.71683,3.16804
CARCASSONNE,87615286,1011434,1035277,1110910,912037,43.218029,2.351824
L'ARBRESLE,87721431,919562,911712,975753,911819,45.833299,4.6183190000000005
ARLES,87753657,969716,953888,1007160,910613,43.684853000000004,4.63203
CHATEAUROUX,87597005,981109,938804,984930,910567,46.809737,1.6995360000000002
SAINT AMAND LES EAUX,87343103,849569,857808,927513,908229,50.44331,3.41952
PAU,87672006,1007888,950122,1038108,906347,43.291762,-0.369626
CALAIS FRETHUN,87281071,877666,889826,935534,904645,50.901221,1.810891
REDON,87471300,1014871,1021387,1003076,903885,47.652004,-2.08777
CHALONS EN CHAMPAGNE,87174003,1050907,995250,1032374,897293,48.955252,4.348656
ABBEVILLE,87317362,948013,908851,937872,887907,50.10221,1.8244900000000002
SAINT LAURENT DU VAR,87756346,727159,720729,909624,878414,43.662451000000004,7.194413000000001
EPERNAY,87171553,974950,920746,965577,878409,49.046289,3.959798
LANGON,87582775,801550,784828,848212,876674,44.555448,-0.25554
SARREBOURG,87215012,901736,895047,910609,859174,48.73808,7.05285
BOIS LE ROI,87682203,915758,897509,888325,852249,48.475567,2.691606
MEXIMIEUX PEROUGES,87723585,849722,844250,892663,851864,45.901615,5.193534
DAMMARTIN JUILLY SAINT MARD,87271536,693735,757159,825147,851079,49.03219,2.69887
MOULINS SUR ALLIER,87696328,943936,885778,932842,846843,46.561346,3.3388419999999996
LAON,87296012,1011526,976569,966228,846464,49.570609999999995,3.6244300000000003
TEMPLEUVE,87286625,705554,729359,813044,844721,50.52863,3.17559
JUAN LES PINS,87757666,800762,749873,910332,843212,43.570896000000005,7.111439999999999
TROUVILLE DEAUVILLE,87444372,953191,918582,969779,832567,49.360005,0.08416699999999999
MOIRANS,87747329,939962,903413,932855,829115,45.322185,5.581915
RIVE DE GIER,87726331,823377,823094,866167,823256,45.524324,4.606648000000001
DOURDAN,87545525,810202,821982,820389,810342,48.533466,2.009643
MURET,87611038,1191508,1055250,1021781,809327,43.464824,1.324449
SAUMUR,87487603,882373,865353,881819,809244,47.269,-0.07136
LYON GORGE DE LOUP,87721175,649637,709584,837181,808011,45.766078,4.804631
PONTCHARRA SUR BREDA,87747493,735110,755264,811218,806967,45.434151,6.007917
GUINGAMP,87473207,739720,727517,794449,795654,48.555659000000006,-3.143343
OBERNAI,87214288,810566,799710,829757,789718,48.46219,7.488810000000001
LUNEL,87773408,966603,974092,992764,786366,43.679392,4.131086
CAMBRAI,87345520,835261,822388,859598,784322,50.17662,3.24118
CHAMBLY,87276725,813319,879435,895273,778674,49.16362,2.24048
SAINT CHAMOND,87726307,842310,786547,849320,775931,45.472570000000005,4.51695
GRENOBLE UNIVERSITES GIERES,87747402,758231,748800,837144,772998,45.184877,5.78474
ANNEMASSE,87745497,977439,958874,992382,772613,46.199222,6.23652
MIRAMAS,87753004,796076,782305,833476,772436,43.580704,5.000264
LE PLESSIS BELLEVILLE,87271551,609316,643581,778191,769534,49.095903299999996,2.7448072999999997
BISCHWILLER,87213611,700033,676295,722573,747353,48.765753000000004,7.8516536
AULNOYE AYMERIES,87295600,756182,725764,767801,747296,50.19749,3.8433699999999997
AGDE,87781278,828146,825821,871364,735372,43.31728,3.4662029999999997
BESANCON FRANCHE COMTE TGV,87300863,783470,776024,809837,729140,47.307361058531725,5.953195095062256
VITROLLES AEROPORT MARSEILLE PROVENCE,87439554,800001,814520,828581,713446,43.441734000000004,5.237122
CARNOLES,87756478,571866,684092,776823,712300,43.762029999999996,7.481389999999999
LYON VAISE,87721001,712512,693021,787242,710861,45.779938,4.80396
SOISSONS,87271817,806502,767089,784421,710127,49.369198299999994,3.3381258999999996
LANDERNEAU,87474239,744689,736680,731244,708940,48.453571999999994,-4.256528
BRUMATH,87212134,615729,652868,707467,704768,48.733108200000004,7.7004016
LONGUEVILLE,87116137,688077,696851,704425,696199,48.513703,3.249822
AMBOISE,87574343,647856,642114,700521,695319,47.421479999999995,0.981299
SABLE SUR SARTHE,87396408,677921,683573,708439,694643,47.8415934,-0.3419359
RUMILLY,87746149,686768,697917,760787,689770,45.862989,5.947938
MORLAIX,87474338,678993,688424,725474,688755,48.57797,-3.8325139999999998
LONGWY,87194001,633557,655029,706150,675593,49.51299229999999,5.7696358
ERSTEIN,87214148,610637,607337,656886,671466,48.422985700000005,7.6387869
NOYON,87276782,728265,726473,743405,667764,49.57736,3.00641
SAVENAY,87481838,562043,591597,642753,656040,47.35859,-1.950957
HENIN BEAUMONT,87345157,620831,611796,656776,645763,50.41706,2.95211
BREAUTE BEUZEVILLE,87413344,621423,608266,645091,643702,49.603396000000004,0.41748900000000005
SAINT JUST EN CHAUSSEE,87313270,668230,669799,673646,639341,49.503640000000004,2.42949
CHERBOURG,87444877,731228,683903,709030,637140,49.633505,-1.621515
LA CIOTAT CEYRESTE,87751784,585343,607339,677416,630687,43.199593,5.632647
CENON,87581595,435511,469512,578015,628845,44.8563465,-0.5336486999999999
DIEPPE,87415018,642014,598995,631472,627539,49.921788,1.081133
BEAULIEU SUR MER,87756379,565969,576607,676721,627124,43.706651,7.331544999999999
BIARRITZ,87673400,527980,524311,626256,620280,43.459396999999996,-1.545915
BENFELD,87214122,560533,565433,608413,617992,48.3735367,7.584125
GAILLON AUBEVOYE,87415620,607880,621395,667689,615427,49.174626,1.3524610000000001
SAINT CLAIR LES ROCHES,87722652,538322,560058,625571,614019,45.450392,4.769707
BAYEUX,87444067,694749,662563,684415,612212,49.269836,-0.698056
SAINT ANDRE DE CUBZAC,87491241,408928,439731,550676,611870,44.991254999999995,-0.440479
MONTBELIARD,87184523,661564,619209,673070,605311,47.5105086,6.801376299999999
CHAUNY,87296616,583290,597526,645715,604047,49.61119,3.2235400000000003
VAL DE REUIL,87415877,619331,610083,660947,598414,49.275437,1.2241469999999999
MAUBEUGE,87295006,594047,539864,602076,597019,50.27298,3.96677
TARARE,87721472,634779,625389,666306,596417,45.889921,4.439208
SAINT MARCELLIN,87761718,598984,589709,667966,595825,45.150898,5.323649
CHOLET,87484303,690784,651788,676452,588766,47.065698,-0.869583
VILLARS LES DOMBES,87723759,586823,596284,617998,576681,46.004205999999996,5.028404
HETTANGE GRANDE,87191163,655236,689264,666183,574818,49.407675399999995,6.1566738
MONTMELIAN,87741181,588262,572522,615265,571999,45.503059,6.043289
HYERES,87755629,288782,496972,625047,568534,43.108867,6.124223000000001
MONTLUEL,87723569,609910,596850,613502,568175,45.847770000000004,5.057503
SAINTES,87491001,649829,606516,652310,567938,45.748740000000005,-0.6179
CHATELLERAULT,87575142,657243,632822,649052,567297,46.818594,0.549279
TERGNIER,87296442,529826,555327,613130,566747,49.6591862,3.2972491
TAIN L'HERMITAGE TOURNON,87761163,564523,550825,587975,561078,45.072183,4.839967
ALBERT,87313072,566521,569816,589341,559962,50.00546,2.64453
BERNAY,87444299,605322,581938,605195,559000,49.087102,0.595634
CLUSES,87746370,519960,524986,580075,556755,46.061446999999994,6.582663
LAMBALLE,87473108,519668,524260,550151,555668,48.46606,-2.511546
LONGUEAU,87313049,585274,558109,575110,549207,49.863440000000004,2.35215
MACON LOCHE TGV,87725705,533700,531931,572743,539004,46.282884,4.778876
LA BAULE ESCOUBLAC,87481754,502380,535099,571079,538183,47.28869,-2.389102
HENDAYE,87677005,665206,566808,601479,537546,43.353132,-1.781724
ISSOIRE,87734202,569891,547296,585378,530513,45.543884000000006,3.25398
MARSEILLE BLANCARDE,87751081,399587,475085,545163,530434,43.29614391,5.406559
MARMANDE,87586545,541890,524856,556357,524811,44.503019,0.168044
VENDOME VILLIERS SUR LOIR TGV,87571216,533198,531328,543290,522878,47.821937,1.0211430000000001
ALES,87775288,523513,551574,576382,521900,44.127825,4.084948000000001
CHATEAUBOURG,87471524,487793,502366,523929,521666,48.106361,-1.405159
UCKANGE,87191130,291376,404637,496864,518547,49.3032605,6.1567735
GARDANNE,87751420,646283,655568,702478,518485,43.455991999999995,5.463332
VILLEFRANCHE SUR MER,87756361,509779,502192,646754,514310,43.707060999999996,7.314128999999999
THONON LES BAINS,87745646,608791,599469,629085,514280,46.369004,6.481669
NOGENT LE ROTROU,87394296,557850,536372,540269,513795,48.3255926,0.8103045
NANTEUIL LE HAUDOUIN,87271577,489617,467476,512151,512905,49.14275,2.7945900000000004
TARBES,87671008,637206,595927,632185,502591,43.239955,0.069415
ROCHEFORT,87485144,517418,490484,552219,500667,45.947189,-0.963556
ANSE,87721324,462190,457204,496552,496428,45.939304,4.719807
ECHIROLLES,87725895,506953,475174,535604,493392,45.153022,5.718943
LE QUESNOY,87295857,508509,463983,495518,492494,50.250209999999996,3.64552
LES SABLES D'OLONNE,87486449,491215,494314,517466,483387,46.499916999999996,-1.78105
SARREGUEMINES,87193615,531410,515390,523627,483312,49.1073357,7.0686398
SAINT SULPICE (TARN),87615344,528895,542238,577797,482942,43.775073,1.6807020000000001
BAR LE DUC,87175042,518672,484575,519100,476511,48.773308,5.166822
DOL DE BRETAGNE,87478073,492676,474135,505159,475619,48.54425,-1.750536
ORANGE,87765107,520170,516774,578352,473212,44.137304,4.819594
AUXERRE SAINT GERVAIS,87683573,523567,480027,534816,471139,47.797645,3.58514
HAUTE PICARDIE TGV,87313882,461701,457110,510885,470321,49.859182000000004,2.8319
LOURDES,87671339,523115,508358,533266,469187,43.10037,-0.042174
MARCHEPRIME,87582445,391249,394714,439305,468003,44.690543,-0.8538100000000001
CERNAY (HAUT RHIN),87182410,524242,495960,489727,466113,47.802,7.1737
GUJAN MESTRAS,87582619,465438,447792,483579,463250,44.640454,-1.0690600000000001
ALENCON,87444711,543251,491413,510863,462758,48.433884,0.098531
ALBI,87615005,516090,490814,541024,460184,43.92238,2.1379580000000002
MONTBARD,87713131,529586,508859,521939,453643,47.618747,4.33616
MONTFORT SUR MEU,87471078,396801,402305,430572,452059,48.138878000000005,-1.949141
MOUTIERS SALINS BRIDES LES BAINS,87741728,489725,469126,461934,447188,45.486344,6.531425
ETAPLES LE TOUQUET,87317065,487194,448449,471673,443446,50.51686,1.64231
VILLERS COTTERETS,87271734,520736,487205,490172,441821,49.25026,3.0937
LA LOUPE,87394254,456318,448954,450193,438656,48.4737398,1.0109416
SURGERES,87485227,451609,415454,462689,438453,46.113238,-0.762284
SAINT GERMAIN AU MONT D'OR,87721282,445319,449979,470788,437980,45.888352000000005,4.804265
CORBIE,87313056,455010,439460,437596,434938,49.911618299999994,2.4996846
SAINT GERVAIS LES BAINS LE FAYET,87746479,486994,483364,485888,433047,45.906423,6.701331
LA ROCHE SUR FORON,87746305,468437,465828,475338,430243,46.06756,6.303885
ENTZHEIM AEROPORT,87214528,433791,431007,435123,429828,48.54699,7.62794
OISSEL,87411207,447927,431236,462998,429609,49.343059999999994,1.101799
SOMAIN,87345314,463357,439076,451458,428300,50.3557,3.2773800000000004
LAROCHE MIGENNES,87683268,510598,492836,494144,425926,47.960998,3.5131910000000004
COUTRAS,87584516,432835,422696,436598,422570,45.036609999999996,-0.13169
GONCELIN,87747477,435796,410393,434806,422297,45.341941,5.974136
PAGNY SUR MOSELLE,87192468,431659,390413,385320,422076,48.985200299999995,6.0250346
CHAUMONT,87142000,525352,492442,489943,421277,48.109759999999994,5.1346
BEAUGENCY,87574160,439896,418996,428055,420632,47.778365,1.6259379999999999
LA TESTE,87582643,421700,401739,431058,420539,44.636924,-1.14295
OLLIOULES SANARY SUR MER,87755231,390187,398455,444643,420139,43.122586,5.824979
ROMANS BOURG DE PEAGE,87761650,461185,463002,505920,419880,45.048857,5.0498
SAINT DIE DES VOSGES,87144014,507065,479521,472400,413370,48.282225,6.948656
LONS LE SAUNIER,87718239,442755,429971,464465,409755,46.66858,5.551108
FORBACH,87193003,457369,425692,462249,409207,49.1892278,6.901318400000001
JOIGNY,87683243,425487,408196,448301,407803,47.973843,3.393082
BOURG SAINT MAURICE,87741793,394757,410352,407991,403105,45.619036,6.771273
GAZINET CESTAS,87582403,377864,361375,392020,402913,44.772218,-0.69949
RIVES,87747246,425658,399620,423569,400918,45.357535,5.491893
TULLINS FURES,87761759,376947,381202,436698,399489,45.300996000000005,5.4921940000000005
SAINT CYR LES LECQUES LA CADIERE,87755215,391946,397365,429899,399008,43.185509,5.703858
AUTERIVE,87611384,513079,492933,495450,396139,43.348993,1.468831
MONT DE MARSAN,87671016,351239,343875,397333,396133,43.884898,-0.50466
GOLFE JUAN VALLAURIS,87757641,386288,373614,431803,394434,43.566501,7.0735779999999995
SAINT JEAN DE LUZ CIBOURE,87677120,391674,377872,425313,393444,43.385838,-1.6612200000000001
MONTAIGU,87481465,403421,397193,409704,392866,46.983705,-1.316236
CHAGNY,87713578,464343,439982,461275,392678,46.907269,4.749682
SATHONAY RILLIEUX,87723700,299391,306687,363962,391843,45.820264,4.8753150000000005
